ආනයනය	O
කරන	O
ලද	O
වාහන	O
අමතර	O
කොටස්‌	O
සඳහා	O
ගෙවිය	O
යුතු	O
නොගෙවා	O
සිටීම	O
සඳහා	O
වාහන	O
අමතර	O
කොටස්‌	O
අලෙවිකරුවකුගෙන්	O
රුපියල්	O
කෝටි	O
121/2	O
ක	O
මුදලක්‌	O
අල්ලස්‌	O
ලෙස	O
ඉල්ලා	O
ලබා	O
ගත්තේ	O
යෑයි	O
අත්අඩංගුවට	O
ගෙන	O
රක්‍ෂිත	O
බන්ධනාගාරගත	O
කර	O
සිටි	O
රේගු	O
නිලධාරීන්	O
තිදෙනා	O
රුපියල්	O
එක්‌කෝටි	O
එක්‌ලක්‍ෂය	O
බැගින්	O
වූ	O
ඇපයකට	O
යටත්	O
කොට	O
දැඩි	O
කොන්දේසි	O
සහිතව	O
මුදාහරින	O
ලෙස	O
කොළඹ	LOC
ප්‍රධාන	O
මහෙස්‌ත්‍රාත්	O
ගිහාන්	PER
පිලපිටිය	PER
මහතා	O
ඊයේ	O
නියෝග	O
කළේය	O
.	O
අල්ලස්‌	ORG
හෝ	ORG
දූෂණ	ORG
චෝදනා	ORG
විමර්ශන	ORG
කොමිෂන්	ORG
සභාව	ORG
මගින්	O
සිදුකළ	O
වැටලීමකින්	O
අත්අඩංගුවට	O
ගෙන	O
රක්‍ෂිත	O
බන්ධනාගාරගත	O
කර	O
මෙසේ	O
ඇප	O
මත	O
මුදාහරිනු	O
ලැබූයේ	O
රේගු	O
අධිකාරී	O
සුධීර	PER
පරාක්‍රම	PER
ජිනදාස	PER
,	O
නියෝජ්‍ය	O
රේගු	O
අධිකාරි	O
ජගත්	PER
ගුණතිලක	PER
සහ	O
සහකාර	O
රේගු	O
අධිකාරි	O
උපාලි	PER
ගුණරත්න	PER
යන	O
තිදෙනායි	O
.	O
සැකකරුවන්	O
තිදෙනා	O
ඇප	O
මත	O
මුදාහරිමින්	O
ඔවුන්	O
හට	O
ඇප	O
කොන්දේසි	O
පනවනු	O
ලැබූ	O
මහෙස්‌ත්‍රාත්වරයා	O
සෑම	O
මසකම	O
අවසන්	O
ඉරු	O
දින	O
උදේ	O
9	O
ත්	O
මධ්‍යහ්න	O
12	O
ත්	O
අතර	O
කාලයේ	O
අල්ලස්‌	ORG
කොමිෂන්	ORG
සභාව	ORG
හමුවේ	O
පෙනී	O
සිට	O
වාර්තා	O
කරන	O
ලෙසත්	O
ඔවුන්ගේ	O
විදේශ	O
ගමන්	O
තහනම්	O
කරන	O
බවත්	O
දන්වා	O
සිටියේය	O
.	O
සිද්ධියට	O
අදාළ	O
පැමිණිල්ල	O
ලබන	O
පෙබරවාරි	O
16	O
දා	O
යළි	O
කැඳවීමට	O
නියමිතය	O
.	O
මෙරට	O
සිදුවන	O
ළමා	O
හා	O
කාන්තා	O
අපචාරයන්	O
සම්බන්ධ	O
නඩු	O
කඩිනමින්	O
අපරාධකරුවන්ට	O
එරෙහිව	O
පියවර	O
ගැනීමේ	O
ක්‍රමවේදයක්‌	O
සකස්‌	O
කිරීම	O
පිළිබඳව	O
වනිතා	ORG
හා	ORG
ළමා	ORG
කටයුතු	ORG
අමාත්‍යාංශය	ORG
මෙම	O
දිනවල	O
නීති	O
අංශයන්	O
සමඟ	O
සාකච්ඡා	O
කරමින්	O
සිටින	O
බව	O
කාන්තා	ORG
හා	ORG
ළමා	ORG
