එදා	O
බිහිවූ	O
මොඑරිතීරියම්	O
ගේ	O
සිට	O
අද	O
ජීවත්වන	O
අලියා	O
දක්වා	O
පරිණාමය	O
වූ	O
ජීවී	O
කොට්ඨාස	O
කිහිපයකි	O
.	O
වුලි	O
මැමත්	O
පෘථිවියේ	LOC
දැඩි	O
ශීතයකින්	O
යුක්ත	O
වූ	O
ප්ලයිස්ටෝසීන	O
යුගයේදී	O
ජීවත්	O
වූ	O
අලි	O
විශේෂයකි	O
.	O
අධික	O
ශීත	O
දේශගුණයට	O
ඔරොත්තු	O
දෙන	O
අයුරින්	O
සිරුර	O
පුරා	O
ඝනව	O
රෝම	O
වැඞී	O
තිබුණි	O
.	O
අඩි	O
14	O
පමණ	O
උස්	O
වූ	O
ශරීරයක්ද	O
ඉදිරියට	O
වක‍්‍රව	O
වැඩුණු	O
විශාල	O
දළ	O
දෙකක්ද	O
මැමත්ට	O
තිබිණ	O
.	O
විශාල	O
දළ	O
යුගලයේ	O
ආධාරයෙන්	O
අයිස්	O
තට්ටු	O
ඉවත්කර	O
පැළෑටි	O
ආහාරයට	O
ගැනීමට	O
හැකි	O
විය	O
.	O
කාලයාගේ	O
ඇවෑමෙන්	O
මැමත්	O
වඳවී	O
ගියද	O
ලෝකයේ	O
නොයෙක්	O
තැන්වලින්	O
ඔවුන්ගේ	O
පොසිල	O
හමුවිය	O
.	O
ඇමරිකන්	LOC
මැස්ටොඩොන්	O
වත්මන්	O
අලියාට	O
බොහෝ	O
සෙයින්	O
සමානකම්	O
කියයි	O
.	O
අඩි	O
8×9	O
තරම්	O
උස්	O
වූ	O
මොහුට	O
හොඬක්	O
හා	O
දළ	O
යුගලක්	O
ද	O
තිබිණ	O
.	O
ගොම්ෆොතීරියම්	O
අවුරුදු	O
මිලියන	O
3	O
කට	O
පෙර	O
පෘථිවිය	LOC
මත	O
ජීවත්	O
වූ	O
මොහුට	O
උඩු	O
හනුවේ	O
දළ	O
දෙකක්ද	O
යටි	O
හනුවේ	O
දළ	O
දෙකක්ද	O
වශයෙන්	O
මුඛයේ	O
දළ	O
හතරක්	O
දක්නට	O
ලැබිණි	O
.	O
පරිසරය	O
වෙනස්වීමත්	O
සමගම	O
වඳවීමට	O
ලක්විය	O
.	O
වත්මන්	O
අලි	O
පරපුර	O
වත්මන්	O
අලියා	O
වර්ග	O
දෙකකට	O
බෙදේ	O
.	O
ලොක්සොඩොන්ටා	O
අප‍්‍රිකානා	O
සහ	O
එලෙෆපාස්	O
මක්සිමුස්	O
ය	O
.	O
එනම්	O
අප‍්‍රිකානු	LOC
අලියා	O
හා	O
ආසියානු	LOC
අලියා	O
යනුවෙනි	O
.	O
මේ	O
දෙවර්ගයෙහිම	O
අලින්ට	O
එක්	O
එක්	O
වර්ගයට	O
ආවේණික	O
වූ	O
ශරීර	O
ලක්ෂණ	O
පිහිටා	O
ඇත	O
.	O
අප‍්‍රිකානු	LOC
අලියා	O
උස	O
අඩි	O
14ක්	O
පමණය	O
.	O
උස	O
අඩි	O
9×11	O
පමණ	O
වේ	O
.	O
උරහිස්	O
උසින්	O
වැඩිය	O
.	O
පිට	O
පහත්ය	O
.	O
පිට	O
උසින්	O
වැඩිය	O
.	O
උරහිස්	O
පහත්ය	O
,	O
වටකුරු	O
කන්පෙති	O
විශාලය	O
,	O
සිරුර	O
දඹුරු	O
පැහැයට	O
හුරු	O
කළු	O
පැහැයක්	O
ගනී	O
,	O
සිරුර	O
තද	O
කළු	O
පැහැතිය	O
.	O
දළ	O
පිහිටන්නේ	O
පිරිමි	O
සතුන්ට	O
