කේ.	PER
මිත්‍රරත්නගේ	PER
‘‘කිරි	O
පැණි	O
නාට්‍යයේ	O
කිරි	O
මුදලාලිගේ	O
ගෝලයාගේ	O
චරිතය	O
රඟපෑ	O
පසිඳු	PER
රංගනාත්	PER
හතරසිංහ	PER
(විවෘත)	O
.	O
හොඳම	O
සංගීතය	O
–	O
වත්තල	LOC
ලයිසියම්	ORG
ජාත්‍යන්තර	ORG
පාසලේ	ORG
‘‘තණකොළ	O
පෙත්තයි	O
යාළුවො	O
රොත්තයි”	O
නාට්‍යයේ	O
සුදර්ශන	PER
බණ්ඩාර	PER
(සීමිත)	O
.	O
අමිතා	PER
රබ්බිඩිගලගේ	PER
‘‘වටින	O
කෙනෙක්	O
මං”	O
නාට්‍යයේ	O
ර`ගපෑ	O
විරාජ්	PER
උදාර	PER
වික්‍රමආරච්චි	PER
(විවෘත)	O
සෙසු	O
අංශ	O
සඳහා	O
ද	O
සම්මාන	O
පිරිනැමිණි	O
.	O
සංස්කෘතික	O
හා	O
කලා	O
කටයුතු	O
ඇමැති	O
ටී.	PER
බී.	PER
ඒකනායක	PER
,	O
එම	O
අමාත්‍යාංශයේ	O
ලේකම්	O
වසන්ත	PER
ඒකනායක	PER
,	O
සංස්කෘතික	ORG
කටයුතු	ORG
දෙපාර්තමේන්තුවේ	ORG
අධ්‍යක්‍ෂ	O
විජිත්	PER
කණුගල	PER
,	O
ටවර්	ORG
රඟහල	ORG
පදනමේ	ORG
අධ්‍යක්‍ෂ	O
ජනරාල්	O
නීතිඥ	O
ඩග්ලස්	PER
සිරිවර්ධන	PER
,	O
ශ්‍රී	ORG
ලංකා	ORG
කලා	ORG
මණ්ඩලයේ	ORG
සභාපති	O
මහාචාර්ය	O
කාලෝ	PER
ෆොන්සේකා	PER
,	O
රාජ්‍ය	ORG
නාට්‍ය	ORG
අනුමණ්ඩලයේ	ORG
සභාපති	O
ශි‍්‍රයන්ත	PER
මෙන්ඩිස්	PER
,	O
රංගන	O
ශිල්පීන්	O
වන	O
ජනක්	PER
ප්‍රේමලාල්	PER
,	O
ජගත්	PER
චමිල	PER
සහ	O
සුගත්	PER
වටගෙදර	PER
,	O
පියල්	PER
සමරවීර	PER
සම්මාන	O
ප්‍රදානය	O
කිරීම	O
සඳහා	O
එක්	O
වූහ	O
.	O
උල්	O
දත්	O
ඇති	O
,	O
දිවියකු	O
තරම්	O
ලොකු	O
අමුතු	O
විදියේ	O
උරගයකුගේ	O
පොසිල	O
අස්ථි	O
හමුවෙලා	O
තියෙනවා	O
දකුණු	LOC
දිග	LOC
බ්‍රසීලයෙන්	LOC
.	O
මේ	O
සත්ත්වයාගේ	O
අස්ථි	O
පරීක්ෂා	O
කිරීමේදී	O
තහවුරු	O
වුණා	O
ඒවා	O
අවුරුදු	O
මිලියන	O
265	O
කට	O
වඩා	O
පැරණියි	O
කියලා	O
.	O
ඒ	O
කියන්නේ	O
මේ	O
සතා	O
ලොව	O
ජීවත්වෙලා	O
තියෙන්නේ	O
ඩයිනසෝරයන්	O
මිහිමත	O
පහළ	O
වෙන්නත්	O
ඇවිද	O
යන්නත්	O
කලින්	O
.	O
ඒ	O
විතරක්	O
නොවේ	O
මේ	O
සතා	O
ඩයිනසෝරයින්	O
ගොදුරු	O
කර	O
ගන්නා	O
විලෝපිකයෙක්	O
වූ	O
බවත්	O
විද්‍යාඥයන්	O
පවසනවා	O
.	O
හිස්	O
කබලක්	O
මේ	O
විලෝපිකයාගේ	O
හිස්	O
කබලක්	O
හමුවුණේ	O
බ්‍රසීලයේ	LOC
රියෝ	LOC
ග්‍රාන්ද්	LOC
දෝ	LOC
සල්	LOC
නිම්නයේ	LOC
පිහිටි	O
ගම්මානයක්	O
අසලින්	O
.	O
ඒ	O
සොයා	O
ගැනීමට	O
මඟ	O
පෑදී	O
තිබෙන්නේ	O
අන්තර්	O
ජාලයේ	O
‘ගූගල්	O
මැප්ස්’	O
යොදා	O
ගනිමින්	O
චන්ද්‍රිකා	O
තාක්ෂණයෙන්	O
ප්‍රදේශයේ	O
භූ	O
විෂමතා	O
පරීක්ෂා	O
කිරීමෙන්	O
අනතුරුව	O
යැයි	O
පැවැසෙනවා	O
.	O
අසාමාන්‍ය	O
සලකුණක්	O
දැකපු	O
බ්‍රසීල	LOC
විද්‍යාඥයන්	O
කණ්ඩායමක්	O
ගියා	O
ඒ	O
ගැන	O
පරීක්ෂා	O
කරන්න	O
.	O
එවිටයි	O
පොසිලකරණයට	O
ලක්	O
වුණු	O
හිස්	O
කබල	O
හමුවුණේ	O
.	O
මේ	O
සත්ත්වයා	O
ලොව	O
පහළ	O
වී	O
ඇත්තේ	O
ඩයිනසෝරයින්	O
මිහිමත	O
පහළ	O
වීමට	O
වසර	O
මිලියන	O
40	O
කට	O
පෙරයි	O
.	O
මෙයා	O
අයත්	O
වන්නේ	O
වඳවී	O
ගිය	O
උරග	O
පවුලකටයි	O
.	O
ඒ	O
හින්දා	O
මෙයාගේ	O
මුතුන්මිත්තන්	O
ගැන	O
කිසිම	O
සාක්ෂියක්	O
තාමත්	O
ලැබිලා	O
නැහැ	O
.	O
මේ	O
සතා	O
නම්	O
කර	O
තියෙන්නේ	O
‘පැම්පාෆොනියස්	O
බික්කායි’	O
යනුවෙනුයි	O
.	O
මේ	O
සතා	O
ඩයිනෝසෙපේලියානුවෙක්	O
.	O
ඒ	O
කියන්නේ	O
ඩයිනසෝරයින්	O
හා	O
පෙනුමෙන්	O
සමාන	O
ඩයිනසෝරයන්	O
නොවන	O
‘අන්ටේසෝරස්’	O
නමැති	O
පවුලේ	O
සාමාජිකයෙක්	O
.	O
‘අන්ටේසෝරස්’	O
සතුන්	O
ඩයිනසෝරයින්	O
ලොව	O
පහළ	O
වෙද්දී	O
මියැදුණා	O
කියලයි	O
මෙතෙක්	O
කල්	O
විශ්වාස	O
කළේ	O
.	O
‘පැම්පාෆොනියස්	O
බික්කායි’	O
අචලතාපියෙක්	O
.	O
සතුන්	O
පසුපස	O
ලූහුබැඳ	O
ඔවුන්	O
ගොදුරු	O
කර	O
ගන්න	O
ශක්තිමත්	O
හකු	O
යුගලක්	O
සහ	O
තියුණු	O
දත්	O
මේ	O
සත්ත්වයාට	O
තිබෙනවා	O
.	O
‘පැම්පාෆොනියස්	O
බික්කායි’	O
යන	O
නම	O
මේ	O
සතාට	O
යොදා	O
ඇති	O
අයුරුත්	O
අපූරුයි	O
.	O
‘පැම්පාස්’	O
කියලා	O
කියන්නේ	O
බ්‍රසීලයේ	LOC
පිහිටන	O
තැනිතලා	O
තණ	O
බිම්වලටයි	O
.	O
‘ෆෝනියස්’	O
යනු	O
ගී‍්‍රක	O
වදනක්	O
.	O
එහි	O
අර්ථය	O
‘ඝාතකයා’	O
යන්නයි	O
.	O
වර්තමානයේ	O
බ්‍රසීලයෙන්	LOC
මේ	O
සතාගේ	O
පොසිල	O
හිස්	O
කබලක්	O
හමුවුණත්	O
,	O
මේ	O
සතා	O
ජීවත්	O
වෙද්දී	O
ලෝකය	O
මහද්වීපවලට	O
වෙන්	O
වී	O
තිබුණේ	O
නැහැ	O
.	O
අද	O
බ්‍රසීලය	LOC
යැයි	O
හඳුන්වන	O
රට	O
ලෝකයේ	O
කොතැනක	O
තිබුණේදැයි	O
විද්‍යාඥයන්ට	O
හරියටම	O
කියන්න	O
බැහැ	O
.	O
‘පැම්පාෆොනියස්	O
බික්කායි’	O
ජීවත්	O
වෙද්දී	O
,	O
අතීතයේ	O
පැවැතියේ	O
එක්	O
මහා	O
මහද්වීපයක්	O
.	O
එය	O
හැඳින්වෙන්නේ	O
‘පැන්ජියා’	O
කියලයි	O
.	O
මීට	O
පෙර	O
හමු	O
වූ	O
අය	O
මීට	O
පෙර	O
,	O
ඩයිනසෝරයන්ට	O
පෙර	O
ජීවත්	O
වූ	O
සතුන්	O
හමුවුණේ	O
රුසියාවෙන්	LOC
,	O
කසකස්තානයෙන්	LOC
,	O
චීනයෙන්	LOC
සහ	O
දකුණු	LOC
අප්‍රිකාවෙන්	LOC
.	O
ඒත්	O
මේ	O
අලූත්	O
සොයා	O
ගැනීමෙන්	O
පැහැදිලියි	O
මේ	O
සතුන්	O
අතීතයේ	O
ලෝකය	O
පුරා	O
ව්‍යාප්ත	O
වී	O
සිටිය	O
බව	O
.	O
පැම්පාෆොනියස්	O
බික්කායිගේ	O
පොසිල	O
හිස්කබල	O
සොයා	O
ගැනීමේ	O
පොසිල	O
විද්‍යාඥ	O
කණ්ඩායමට	O
නායකත්වය	O
දුන්නේ	O
බ්‍රසීලයේ	LOC
ටෙරේසිනාහි	LOC
පියාඋයි	ORG
ෆෙඩරල්	ORG
සරසවියේ	ORG
පොසිල	O
විද්‍යාඥ	O
ආචාර්ය	O
ජුවාන්	PER
කාලෝස්	PER
සිස්නේරස්	PER
.	O
ඔහු	O
ඒ	O
ගැන	O
කියන්නේ	O
මෙහෙමයි:	O
”මේ	O
පොසිලය	O
මංශභක්ෂක	O
ඇන්ටේසෝරසයකුගේ	O
.	O
මෙම	O
සොයා	O
ගැනීමෙන්	O
ආදිකාලෙ	O
පැන්ජියාව	LOC
පවතිද්දී	O
ඒ	O
ප්‍රදේශය	O
පුරා	O
මංශභක්ෂක	O
ඩයිනෝසෙෆලියන්ස්	O
සතුන්	O
ජීවත්	O
වූ	O
බව	O
.”අනෙක්	O
ඩයිනෝසෙපේලියානුවන්ට	O
අයත්	O
වන	O
සතුන්	O
වන්නේ	O
දකුණු	LOC
අප්‍රිකානු	LOC
ඇන්ටේසෝරස්	O
මැග්නිෆිකස්	O
හා	O
රුසියානු	LOC
ටයිටනොෆොනියස්	O
පොටෙන්ස්	O
දෙදෙනායි	O
.	O
ඒ	O
අතරින්	O
රුසියානු	LOC
සත්ත්වයා	O
ප්‍රමාණයෙන්	O
විශාලයි	O
.	O
උගේ	O
දිග	O
අඩි	O
18කට	O
වැඩියි	O
.	O
පර්මීයානු	O
යුගයේ	O
මේ	O
මිහිමත	O
ඇවිද	O
ගිය	O
විශාල	O
ම	O
සත්ත්වයා	O
මොහු	O
විය	O
හැකියි	O
.	O
එකම	O
භූමියක්	O
පර්යේෂකයන්	O
විශ්වාස	O
කරන්නේ	O
ලෝකයේ	O
භූමි	O
එකට	O
එක්ව	O
තිබූ	O
නිසා	O
