පාරුව	O
අනතුරට	O
පත්වූ	O
සැණින්	O
අසල	O
මුහුදේ	O
යාත‍්‍රා	O
කරමින්	O
තිබූ	O
වෙළෙඳ	O
නැව්	O
තුනක්	O
පාරුව	O
වෙත	O
පැමිණ	O
එහි	O
සිටි	O
පිරිස	O
බේරා	O
ගත්	O
බව	O
වාර්තා	O
වේ	O
.	O
පැපුවා	LOC
නිව්ගිනි	LOC
වෙරළාරක්ෂක	O
නිලධාරීහු	O
ද	O
වහ	O
වහා	O
‘රබෝල්	O
ක්වීන්’	O
නැව	O
වෙත	O
ළඟා	O
වූහ	O
.	O
නැව	O
ගිලී	O
යද්දී	O
සියයකට	O
වැඩි	O
පිරිසක්	O
ඒ	O
තුළ	O
සිරවී	O
සිටි	O
බවත්	O
ඔවුන්	O
බේරා	O
ගැනීමේ	O
මෙහෙයුම්	O
කඩිනමින්	O
ආරම්භ	O
කළ	O
බවත්	O
වාර්තා	O
විය	O
.	O
අනතුරින්	O
දිවි	O
ගලවා	O
ගැනීමට	O
හැකියාව	O
ලැබී	O
ඇත්තේ	O
230	O
දෙනකුට	O
පමණි	O
.	O
සිද්ධිය	O
සැලවූ	O
සැණින්	O
ඕස්ට්‍රේලියා	LOC
අගමැතිනිය	O
වෙරළාරක්ෂක	O
සහ	O
ජීවිතාරක්ෂක	O
නිලධාරීන්	O
,	O
බෝට්ටු	O
6	O
සහ	O
හෙලිකොප්ටර්	O
යානා	O
2ක්	O
අනතුර	O
සිදුවූ	O
මුහුදට	O
යැවූ	O
බව	O
වාර්තා	O
විය	O
.	O
ඕස්ට්‍රේලියාව	LOC
පැපුවා	LOC
නිව්	LOC
ගිනියාවේ	LOC
අසල්	O
වැසියෙකි	O
.	O
ඕස්ට්‍රේලියා	LOC
විදේශ	O
ඇමැති	O
කෙවින්	PER
රුඞ්	PER
මාධ්‍ය	O
හමුවේ	O
කියා	O
සිටියේ	O
පැපුවා	ORG
නිව්	ORG
ගිනියා	ORG
රජය	ORG
සමඟ	O
එක්වී	O
දිවි	O
ගලවා	O
ගැනීමේ	O
මෙහෙයුමක්	O
ආරම්භ	O
කළ	O
බවත්	O
අයහපත්	O
කාලගුණයෙන්	O
කොතරම්	O
බාධා	O
එල්ල	O
වුවත්	O
පාරුවේ	O
සිරවී	O
සිටින	O
පිරිස	O
බේරා	O
ගැනීමේ	O
මෙහෙයුම්	O
දිගටම	O
සිදුකරන	O
බවය	O
.	O
දැයට	O
කිරුළ	O
ප්‍රදර්ශනයේ	O
හත්වන	O
දිනය	O
අවසන්	O
වන	O
විට	O
ලක්ෂ	O
30	O
ඉක්ම	O
වූ	O
නරඹන්න	O
පිරිසක්	O
පැමිණ	O
ඇතැයි	O
දැයට	O
කිරුළ	O
ප්‍රදර්ශන	O
සම්බන්ධිකරණ	O
ලේකම්	O
උදය	PER
සේනවිරත්න	PER
මහතා	O
පවසයි	O
.	O
ප්‍රදර්ශනයේ	O
සමාප්ති	O
දිනය	O
මාධ්‍ය	O
